root [20] tree->Scan("truePDG:trueP:isSeen:seenP:basicPDG:dEdxPDG:showerPDG:likeliPDG:lowmomPDG","isSeen>0.5&&seenCharge!=0");
***********************************************************************************************************************************
*    Row   * Instance *   truePDG *     trueP *    isSeen *     seenP *  basicPDG *   dEdxPDG * showerPDG * likeliPDG * lowmomPDG *
*        3 *       20 *       321 * 3.3999531 *     0.982 * 3.3787221 *        13 *       321 *       321 *       321 *         0 *
*        3 *       32 *       211 * 1.5858338 *     0.982 * 1.5857501 *        13 *       321 *        13 *        13 *         0 *
*        4 *        2 *        13 * 46.011729 *     0.982 * 46.028831 *        13 *        13 *        13 *        13 *         0 *
*        4 *        4 *       -13 * 196.64159 *     0.974 * 195.69195 *        13 *        13 *        11 *        11 *         0 *
*        4 *        9 *      2112 * 0.6033233 *     0.731 * 1.2041370 *      2212 *       211 *      2212 *       211 *         0 *
Type <CR> to continue or q to quit ==>
*        4 *       17 *       211 * 1.1680500 *     0.974 * 1.1676515 *      2212 *       211 *        13 *       211 *         0 *
*        4 *       19 *      -211 * 1.9301315 *     0.969 * 1.9289083 *        11 *       321 *        13 *       321 *         0 *
*        4 *       21 *       211 * 4.9113637 *     0.982 * 4.9135740 *       321 *       321 *       321 *       321 *         0 *
*        4 *       24 *      -211 * 15.892733 *     0.982 * 15.914826 *       321 *       211 *       321 *       321 *         0 *
*        4 *       30 *      -211 * 2.8502471 *     0.974 * 2.8521138 *        13 *       321 *       321 *       321 *         0 *
*        4 *       32 *       211 * 0.6025703 *     0.893 * 0.6029407 *        11 *        13 *        13 *        11 *       211 *
*        4 *       34 *      -211 * 1.5238606 *     0.982 * 1.5251201 *      2212 *       211 *        11 *      2212 *         0 *
*        4 *       35 *       211 * 1.4871326 *     0.982 * 1.4890045 *        11 *       211 *       211 *        11 *         0 *
*        4 *       37 *       211 * 1.2032304 *     0.982 * 1.2041370 *      2212 *       211 *      2212 *       211 *         0 *
*        4 *       38 *      -211 * 2.9499962 *     0.978 * 2.9503851 *      2212 *      2212 *      2212 *      2212 *         0 *
*        4 *       45 *      -211 * 0.6018366 *     0.572 * 0.6020874 *      2212 *        13 *        11 *        11 *       211 *
*        4 *       46 *       211 * 1.2926914 *      0.97 * 1.2918397 *      2212 *       321 *      2212 *       321 *         0 *
